"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2022","Total","Both Sexes","Adelaide","City proper","Estimate - de jure","Provisional figure","2024","26141","1,2"
"Australia","2022","Total","Both Sexes","Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1398863","1,2"
"Australia","2022","Total","Both Sexes","Albury-Wodonga","City proper","Estimate - de jure","Provisional figure","2024","100360","1,2"
"Australia","2022","Total","Both Sexes","Ballarat","City proper","Estimate - de jure","Provisional figure","2024","115951","1,2"
"Australia","2022","Total","Both Sexes","Bendigo","City proper","Estimate - de jure","Provisional figure","2024","122647","1,2"
"Australia","2022","Total","Both Sexes","Brisbane","City proper","Estimate - de jure","Provisional figure","2024","1283002","1,2"
"Australia","2022","Total","Both Sexes","Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2543197","1,2"
"Australia","2022","Total","Both Sexes","Cairns","City proper","Estimate - de jure","Provisional figure","2024","171970","1,2"
"Australia","2022","Total","Both Sexes","CANBERRA","City proper","Estimate - de jure","Provisional figure","2024","456844","1,2"
"Australia","2022","Total","Both Sexes","CANBERRA","Urban agglomeration","Estimate - de jure","Provisional figure","2024","456844","1,2"
"Australia","2022","Total","Both Sexes","Canberra-Queanbeyan","City proper","Estimate - de jure","Provisional figure","2024","521077","1,2"
"Australia","2022","Total","Both Sexes","Central Coast","City proper","Estimate - de jure","Provisional figure","2024","349173","1,2"
"Australia","2022","Total","Both Sexes","Darwin","City proper","Estimate - de jure","Provisional figure","2024","84846","1,2"
"Australia","2022","Total","Both Sexes","Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","135536","1,2"
"Australia","2022","Total","Both Sexes","Geelong","City proper","Estimate - de jure","Provisional figure","2024","276446","1,2"
"Australia","2022","Total","Both Sexes","Geelong","Urban agglomeration","Estimate - de jure","Provisional figure","2024","295434","1,2"
"Australia","2022","Total","Both Sexes","Gold Coast","City proper","Estimate - de jure","Provisional figure","2024","647078","1,2"
"Australia","2022","Total","Both Sexes","Gold Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2024","663216","1,2"
"Australia","2022","Total","Both Sexes","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Provisional figure","2024","745047","1,2"
"Australia","2022","Total","Both Sexes","Greater Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1418230","1,2"
"Australia","2022","Total","Both Sexes","Greater Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2625341","1,2"
"Australia","2022","Total","Both Sexes","Greater Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","149127","1,2"
"Australia","2022","Total","Both Sexes","Greater Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2024","252453","1,2"
