"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Canada","2022","Total","Both Sexes","Abbotsford","City proper","Estimate - de jure","Final figure, complete","2024","168478","1,2"
"Canada","2022","Total","Both Sexes","Abbotsford-Mission","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","208961","1,2"
"Canada","2022","Total","Both Sexes","Ajax","City proper","Estimate - de jure","Final figure, complete","2024","135180","1,2"
"Canada","2022","Total","Both Sexes","Barrie","City proper","Estimate - de jure","Final figure, complete","2024","157194","1,2"
"Canada","2022","Total","Both Sexes","Barrie","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","228979","1,2"
"Canada","2022","Total","Both Sexes","Belleville","City proper","Estimate - de jure","Final figure, complete","2024","57363","1,2"
"Canada","2022","Total","Both Sexes","Belleville","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","116013","1,2"
"Canada","2022","Total","Both Sexes","Brampton","City proper","Estimate - de jure","Final figure, complete","2024","745557","1,2"
"Canada","2022","Total","Both Sexes","Brantford","City proper","Estimate - de jure","Final figure, complete","2024","110617","1,2"
"Canada","2022","Total","Both Sexes","Brantford","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","158391","1,2"
"Canada","2022","Total","Both Sexes","Burlington","City proper","Estimate - de jure","Final figure, complete","2024","194175","1,2"
"Canada","2022","Total","Both Sexes","Burnaby","City proper","Estimate - de jure","Final figure, complete","2024","270264","1,2"
"Canada","2022","Total","Both Sexes","Calgary","City proper","Estimate - de jure","Final figure, complete","2024","1413800","1,2"
"Canada","2022","Total","Both Sexes","Calgary","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","1608342","1,2"
"Canada","2022","Total","Both Sexes","Cambridge","City proper","Estimate - de jure","Final figure, complete","2024","146566","1,2"
"Canada","2022","Total","Both Sexes","Cape Breton","City proper","Estimate - de jure","Final figure, complete","2024","94007","1,2"
"Canada","2022","Total","Both Sexes","Chatham-Kent","City proper","Estimate - de jure","Final figure, complete","2024","108689","1,2"
"Canada","2022","Total","Both Sexes","Chatham-Kent","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","109051","1,2"
"Canada","2022","Total","Both Sexes","Chilliwack","City proper","Estimate - de jure","Final figure, complete","2024","97174","1,2"
